[2026-04-19T22:10:15.963+0100][0.205s][info][gc,heap     ] GC(2) Survivor regions: 4->4(10)
[2026-04-19T22:10:15.963+0100][0.205s][info][gc,heap     ] GC(2) Old regions: 3->3
[2026-04-19T22:10:15.963+0100][0.205s][info][gc,heap     ] GC(2) Humongous regions: 0->0
[2026-04-19T22:10:15.963+0100][0.205s][info][gc,metaspace] GC(2) Metaspace: 239K(448K)->239K(448K) NonClass: 227K(320K)->227K(320K) Class: 11K(128K)->11K(128K)
[2026-04-19T22:10:15.963+0100][0.205s][info][gc          ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 76M->4M(130M) 1.652ms
[2026-04-19T22:10:15.963+0100][0.205s][info][gc,cpu      ] GC(2) User=0.01s Sys=0.00s Real=0.00s
[2026-04-19T22:10:16.019+0100][0.262s][info][gc,start    ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-19T22:10:16.019+0100][0.262s][info][gc,task     ] GC(3) Using 3 workers of 8 for evacuation
[2026-04-19T22:10:16.020+0100][0.263s][info][gc,phases   ] GC(3)   Pre Evacuate Collection Set: 0.0ms
[2026-04-19T22:10:16.020+0100][0.263s][info][gc,phases   ] GC(3)   Merge Heap Roots: 0.0ms
[2026-04-19T22:10:16.020+0100][0.263s][info][gc,phases   ] GC(3)   Evacuate Collection Set: 1.1ms
[2026-04-19T22:10:16.020+0100][0.263s][info][gc,phases   ] GC(3)   Post Evacuate Collection Set: 0.1ms
[2026-04-19T22:10:16.020+0100][0.263s][info][gc,phases   ] GC(3)   Other: 0.0ms
[2026-04-19T22:10:16.020+0100][0.263s][info][gc,heap     ] GC(3) Eden regions: 72->0(72)
[2026-04-19T22:10:16.020+0100][0.263s][info][gc,heap     ] GC(3) Survivor regions: 4->4(10)
[2026-04-19T22:10:16.020+0100][0.263s][info][gc,heap     ] GC(3) Old regions: 3->3
[2026-04-19T22:10:16.020+0100][0.263s][info][gc,heap     ] GC(3) Humongous regions: 0->0
[2026-04-19T22:10:16.020+0100][0.263s][info][gc,metaspace] GC(3) Metaspace: 239K(448K)->239K(448K) NonClass: 227K(320K)->227K(320K) Class: 11K(128K)->11K(128K)
[2026-04-19T22:10:16.020+0100][0.263s][info][gc          ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 76M->4M(130M) 1.454ms
[2026-04-19T22:10:16.020+0100][0.263s][info][gc,cpu      ] GC(3) User=0.01s Sys=0.00s Real=0.01s
[2026-04-19T22:10:16.075+0100][0.318s][info][gc,start    ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-19T22:10:16.075+0100][0.318s][info][gc,task     ] GC(4) Using 3 workers of 8 for evacuation
[2026-04-19T22:10:16.077+0100][0.320s][info][gc,phases   ] GC(4)   Pre Evacuate Collection Set: 0.1ms
[2026-04-19T22:10:16.077+0100][0.320s][info][gc,phases   ] GC(4)   Merge Heap Roots: 0.0ms
[2026-04-19T22:10:16.077+0100][0.320s][info][gc,phases   ] GC(4)   Evacuate Collection Set: 1.1ms
[2026-04-19T22:10:16.077+0100][0.320s][info][gc,phases   ] GC(4)   Post Evacuate Collection Set: 0.1ms
[2026-04-19T22:10:16.077+0100][0.320s][info][gc,phases   ] GC(4)   Other: 0.0ms
[2026-04-19T22:10:16.077+0100][0.320s][info][gc,heap     ] GC(4) Eden regions: 72->0(90)
[2026-04-19T22:10:16.077+0100][0.320s][info][gc,heap     ] GC(4) Survivor regions: 4->4(10)
[2026-04-19T22:10:16.077+0100][0.320s][info][gc,heap     ] GC(4) Old regions: 3->3
[2026-04-19T22:10:16.077+0100][0.320s][info][gc,heap     ] GC(4) Humongous regions: 0->0
[2026-04-19T22:10:16.077+0100][0.320s][info][gc,metaspace] GC(4) Metaspace: 239K(448K)->239K(448K) NonClass: 227K(320K)->227K(320K) Class: 11K(128K)->11K(128K)
[2026-04-19T22:10:16.077+0100][0.320s][info][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 76M->4M(157M) 1.548ms
[2026-04-19T22:10:16.077+0100][0.320s][info][gc,cpu      ] GC(4) User=0.00s Sys=0.00s Real=0.00s
[2026-04-19T22:10:16.145+0100][0.388s][info][gc,start    ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-19T22:10:16.146+0100][0.388s][info][gc,task     ] GC(5) Using 3 workers of 8 for evacuation
[2026-04-19T22:10:16.147+0100][0.390s][info][gc,phases   ] GC(5)   Pre Evacuate Collection Set: 0.1ms
[2026-04-19T22:10:16.147+0100][0.390s][info][gc,phases   ] GC(5)   Merge Heap Roots: 0.0ms
[2026-04-19T22:10:16.147+0100][0.390s][info][gc,phases   ] GC(5)   Evacuate Collection Set: 1.1ms
[2026-04-19T22:10:16.147+0100][0.390s][info][gc,phases   ] GC(5)   Post Evacuate Collection Set: 0.1ms
[2026-04-19T22:10:16.147+0100][0.390s][info][gc,phases   ] GC(5)   Other: 0.0ms
[2026-04-19T22:10:16.147+0100][0.390s][info][gc,heap     ] GC(5) Eden regions: 90->0(90)
[2026-04-19T22:10:16.147+0100][0.390s][info][gc,heap     ] GC(5) Survivor regions: 4->4(12)
[2026-04-19T22:10:16.147+0100][0.390s][info][gc,heap     ] GC(5) Old regions: 3->3
[2026-04-19T22:10:16.147+0100][0.390s][info][gc,heap     ] GC(5) Humongous regions: 0->0
[2026-04-19T22:10:16.147+0100][0.390s][info][gc,metaspace] GC(5) Metaspace: 239K(448K)->239K(448K) NonClass: 227K(320K)->227K(320K) Class: 11K(128K)->11K(128K)
[2026-04-19T22:10:16.147+0100][0.390s][info][gc          ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 94M->5M(157M) 1.476ms
[2026-04-19T22:10:16.147+0100][0.390s][info][gc,cpu      ] GC(5) User=0.00s Sys=0.01s Real=0.00s
[2026-04-19T22:10:16.223+0100][0.466s][info][gc,start    ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-19T22:10:16.224+0100][0.466s][info][gc,task     ] GC(6) Using 3 workers of 8 for evacuation
[2026-04-19T22:10:16.225+0100][0.468s][info][gc,phases   ] GC(6)   Pre Evacuate Collection Set: 0.1ms
[2026-04-19T22:10:16.225+0100][0.468s][info][gc,phases   ] GC(6)   Merge Heap Roots: 0.0ms
[2026-04-19T22:10:16.225+0100][0.468s][info][gc,phases   ] GC(6)   Evacuate Collection Set: 1.3ms
[2026-04-19T22:10:16.225+0100][0.468s][info][gc,phases   ] GC(6)   Post Evacuate Collection Set: 0.3ms
[2026-04-19T22:10:16.225+0100][0.468s][info][gc,phases   ] GC(6)   Other: 0.0ms
[2026-04-19T22:10:16.225+0100][0.468s][info][gc,heap     ] GC(6) Eden regions: 90->0(90)
[2026-04-19T22:10:16.225+0100][0.468s][info][gc,heap     ] GC(6) Survivor regions: 4->4(12)
[2026-04-19T22:10:16.225+0100][0.468s][info][gc,heap     ] GC(6) Old regions: 3->3
[2026-04-19T22:10:16.225+0100][0.468s][info][gc,heap     ] GC(6) Humongous regions: 0->0
